"price" "nrooms" "totsp" "livesp" "kitsp" "dist" "metrdist" "walk" "brick" "floor" "code"
"1" 81 1 58 40 6 12.5 7 1 1 1 3
"2" 75 1 44 28 6 13.5 7 1 0 1 6
"3" 95 1 61 37 6 13.5 7 1 0 1 1
"4" 98 1 59 39 6 7.5 10 0 0 1 8
"5" 88 1 55 36 6 9 5 1 1 0 4
"6" 96 1 60 43 6 12 15 1 0 1 7
"7" 125 1 62 40 8 12.5 5 1 0 1 2
"8" 95 1 58 38 6 12 8 1 0 1 1
"9" 72 1 49 34 6 7 10 0 0 1 5
"10" 92 1 61 33 7 10.5 10 1 1 0 7
"11" 88 1 60 43 6 12 5 0 0 0 7
"12" 90 1 58 43 6 13.5 2 1 0 1 6
"13" 102 1 60 43 6 12 5 0 1 1 7
"14" 86 1 60 42 7 12 10 0 0 1 8
"15" 79 1 51 34 6 13.5 5 1 0 1 6
"16" 89 1 62 38 9 13 4 0 0 0 5
"17" 89 1 51 34 6 3.5 10 1 0 0 7
"18" 100 1 57 42 6 11 10 1 1 1 5
"19" 97 1 53 34 6 9 5 1 0 1 4
"20" 85 1 59 45 6 12 5 1 0 1 5
"21" 76 1 55 36 6 12.5 15 0 1 0 3
"22" 110 1 51 34 6 3.5 7 1 0 1 7
"23" 90 1 60 45 6 13.5 5 1 0 1 6
"24" 82 1 51 35 6 12.5 5 1 0 1 2
"25" 105 1 57 42 6 3 15 1 1 1 1
"26" 88 1 55 38 6 6.5 10 1 1 0 2
"27" 84 1 58 43 5 12 15 1 1 0 7
"28" 74 1 60 43 6 13.5 5 0 0 0 6
"29" 125 1 62 42 10 12 10 1 0 1 1
"30" 105 1 57 40 6 4.5 5 1 1 1 8
"31" 120 1 56 42 6 12 5 1 1 1 7
"32" 82 1 56 39 5 10.5 5 0 1 1 3
"33" 74 1 51 35 6 13.5 10 1 0 0 6
"34" 87 1 60 43 6 12 7 0 0 1 7
"35" 90 1 58 43 6 17 10 1 0 1 4
"36" 140 1 56 40 5 9 5 1 1 0 3
"37" 105 1 57 44 6 9 5 1 1 0 4
"38" 106 1 58 44 6 7 10 0 0 0 4
"39" 105 1 56 42 6 3 15 1 1 1 1
"40" 94 1 59 43 5 14.5 5 0 0 1 3
"41" 86 1 51 35 6 17 10 1 0 0 4
"42" 90 1 56 41 5 6 15 1 1 1 6
"43" 95 1 58 42 6 7.5 15 1 1 1 3
"44" 78 1 51 34 6 13.5 10 1 1 1 6
"45" 103 1 60 43 6 12.5 5 1 0 1 2
"46" 84 1 60 44 6 13.5 7 0 0 1 1
"47" 80 1 60 44 6 13.5 10 0 0 1 6
"48" 115 1 58 41 5 7.5 7 1 1 0 3
"49" 80 1 58 43 6 10 10 1 1 1 6
"50" 88 1 59 44 6 13.5 10 1 0 1 6
"51" 86 1 50 34 6 12 10 0 0 0 8
"52" 85 1 60 43 6 14.5 6 0 0 1 2
"53" 90 1 51 35 6 7 3 1 0 1 4
"54" 89 1 61 44 6 12.5 10 1 0 1 2
"55" 81 1 56 39 6 11.5 10 1 0 1 6
"56" 106 1 58 42 6 12 5 1 1 1 8
"57" 78 1 55 37 6 11.5 2 1 1 1 6
"58" 105 1 58 44 5 17 2 1 1 1 2
"59" 130 1 56 41 6 9 5 1 1 0 3
"60" 86 1 59 43 6 17 5 1 0 1 4
"61" 105 1 60 41 8 4.5 10 1 1 0 8
"62" 95 1 60 43 6 14.5 10 1 0 1 3
"63" 110 1 58 43 6 14.5 10 1 1 1 3
"64" 80 1 55 41 5 11.5 3 1 1 1 6
"65" 93 1 60 38 8 12 5 1 0 1 5
"66" 89 1 60 44 6 14.5 7 1 1 1 3
"67" 73 1 61 41 6 13 10 0 0 0 5
"68" 92 1 60 45 6 9 7 0 1 1 3
"69" 90 1 57 38 6 7.5 6 1 1 0 3
"70" 93 1 62 37 8 12.5 10 1 0 1 2
"71" 90 1 57 43 6 12 5 1 1 1 1
"72" 79 1 55 40 6 10.5 10 0 1 1 3
"73" 84 1 58 43 5 12 15 1 1 0 7
"74" 80 1 56 38 6 7 10 1 0 1 5
"75" 115 1 57 42 6 10.5 4 0 1 1 3
"76" 82 1 57 46 6 12 10 1 1 1 7
"77" 90 1 61 49 6 12 10 1 0 1 8
"78" 75 1 51 34 6 9 5 0 0 0 4
"79" 93 1 59 44 6 7 5 0 0 0 4
"80" 86 1 56 39 6 12.5 10 0 0 1 3
"81" 85 1 59 43 6 13.5 15 0 0 1 1
"82" 88 1 60 44 10 12 10 0 0 0 7
"83" 85 1 55 40 6 11 5 0 1 1 8
"84" 73 1 54 37 6 14.5 10 1 0 1 3
"85" 91 1 60 44 6 12 10 1 1 1 7
"86" 73 1 51 34 6 7 7 1 0 1 5
"87" 85 1 58 39 6 10 7 0 0 1 6
"88" 88 1 56 36 6 17 10 0 0 1 2
"89" 98 1 56 33 6 8 10 1 0 0 1
"90" 85 1 60 44 6 7 7 1 0 1 5
"91" 100 1 55 38 6 3.5 5 1 1 0 7
"92" 95 1 55 35 8 7.5 7 1 1 1 3
"93" 72 1 52 35 6 13.5 10 0 0 1 1
